Gene,Entrez Id,CFGa,CNVb,Differential Expressionc,GWASd,Linkage & Associatione,Sherlockf,Pascalg,Scoreh
MIR146A,406938,no,no,yes,no,no,no,no,1
MIR130A,406919,no,no,no,yes,no,no,no,1
MIR124-1,406907,no,no,yes,no,no,no,no,1
MIRLET7G,406890,no,no,yes,no,no,no,no,1
ARNT,405,no,no,no,no,yes,no,no,1
LTA,4049,no,no,no,no,yes,no,no,1
LSAMP,4045,no,no,no,no,no,yes,no,1
LRP1,4035,no,no,no,yes,no,no,no,1
PLPP6,403313,no,no,yes,no,no,no,no,1
LRMP,4033,no,no,yes,no,no,no,no,1
ARL3,403,no,no,no,yes,no,no,no,1
LPL,4023,no,no,no,no,yes,no,no,1
VWC2L,402117,no,no,yes,no,no,no,no,1
LPA,4018,no,no,yes,no,no,no,no,1
LINC00890,401613,no,no,yes,no,no,no,no,1
WDR38,401551,no,no,yes,no,no,no,no,1
DDX10P2,401533,no,no,no,yes,no,no,no,1
LOX,4015,no,no,yes,no,no,no,no,1
VLDLR-AS1,401491,no,no,yes,no,no,no,no,1
LINC00998,401397,no,no,yes,no,no,no,no,1
IQCF3,401067,no,no,yes,no,no,no,no,1
FLJ43879,401039,no,no,yes,no,no,no,no,1
IL17REL,400935,no,no,yes,no,no,no,no,1
FAM177B,400823,no,no,yes,no,no,no,no,1
LINC00909,400657,no,no,yes,no,no,no,no,1
LOC400655,400655,no,no,yes,no,no,no,no,1
CRYM-AS1,400508,no,no,yes,no,no,no,no,1
BCAR4,400500,no,no,yes,no,no,no,no,1
LMO1,4004,no,no,yes,no,no,no,no,1
MIR100HG,399959,no,no,yes,no,no,no,no,1
C11orf87,399947,no,no,no,yes,no,no,no,1
FADS3,3995,no,no,yes,no,no,no,no,1
LIF,3976,no,no,yes,no,no,no,no,1
LHCGR,3973,no,no,yes,no,no,no,no,1
LDHC,3948,no,no,yes,no,no,no,no,1
LCK,3932,no,no,yes,no,no,no,no,1
AGMO,392636,no,no,yes,no,no,no,no,1
LCN9,392399,no,no,yes,no,no,no,no,1
LAMC2,3918,no,no,yes,no,no,no,no,1
LAMB3,3914,no,no,yes,no,no,no,no,1
PTRHD1,391356,no,no,yes,no,no,no,no,1
LAMB1,3912,no,no,yes,no,no,no,no,1
OR7G3,390883,no,no,yes,no,no,no,no,1
OR52E8,390079,no,no,yes,no,no,no,no,1
OR52K1,390036,no,no,yes,no,no,no,no,1
C9orf153,389766,no,no,yes,no,no,no,no,1
LAMTOR4,389541,no,no,yes,no,no,no,no,1
LINC01118,388948,no,no,yes,no,no,no,no,1
LOC388906,388906,no,no,no,no,no,no,yes,1
NOTCH2NL,388677,no,no,yes,no,no,no,no,1
SLC6A17,388662,no,no,yes,no,no,no,no,1
GBP7,388646,no,no,yes,no,no,no,no,1
LDLRAD1,388633,no,no,yes,no,no,no,no,1
TMEM82,388595,no,no,yes,no,no,no,no,1
ZNF788,388507,no,no,yes,no,no,no,no,1
LINC00671,388387,no,no,yes,no,no,no,no,1
SHISA6,388336,no,no,no,no,no,no,yes,1
SCIMP,388325,no,no,yes,no,no,no,no,1
C16orf86,388284,no,no,no,yes,no,no,no,1
SBK1,388228,no,no,yes,no,no,no,no,1
LOC388152,388152,no,no,no,no,no,no,yes,1
CC2D2B,387707,no,no,yes,no,no,no,no,1
SLC16A12,387700,no,no,yes,no,no,no,no,1
VN1R10P,387316,no,no,no,no,no,no,yes,1
