Gene,Entrez Id,CFGa,CNVb,Differential Expressionc,GWASd,Linkage & Associatione,Sherlockf,Pascalg,Scoreh
RRN3,54700,no,yes,yes,no,no,no,no,2
TM6SF2,53345,no,no,no,yes,no,no,yes,2
PLCL1,5334,no,no,no,yes,no,no,yes,2
PLCB2,5330,no,no,no,yes,no,no,yes,2
RAPGEF6,51735,no,yes,no,no,yes,no,no,2
PDE4B,5142,yes,no,no,no,yes,no,no,2
ARL6IP4,51329,no,no,no,yes,no,no,yes,2
PCCB,5096,no,no,no,yes,no,no,yes,2
PAM,5066,no,no,yes,no,yes,no,no,2
SLC45A1,50651,no,no,no,yes,no,no,yes,2
PAK2,5062,no,yes,yes,no,no,no,no,2
FURIN,5045,no,no,no,yes,no,no,yes,2
NOTCH4,4855,no,no,no,yes,yes,no,no,2
NOTCH2,4853,no,no,yes,no,yes,no,no,2
NPY,4852,no,no,yes,no,yes,no,no,2
NEK1,4750,no,no,yes,yes,no,no,no,2
NDUFV2,4729,yes,no,yes,no,no,no,no,2
NDUFA6,4700,no,no,no,yes,no,no,yes,2
ATF4,468,no,no,yes,no,no,no,yes,2
NAGA,4668,no,no,no,yes,no,no,yes,2
NAB2,4665,no,no,yes,yes,no,no,no,2
SMIM4,440957,no,no,no,yes,no,no,yes,2
LOC440354,440354,no,no,yes,no,no,no,yes,2
MMP16,4325,no,no,no,yes,no,no,yes,2
ARVCF,421,no,yes,no,no,yes,no,no,2
MEF2C,4208,no,no,yes,yes,no,no,no,2
MDK,4192,no,no,no,yes,no,no,yes,2
MAOA,4128,no,no,yes,no,yes,no,no,2
MAN2A1,4124,no,no,no,yes,no,no,yes,2
MAN2A2,4122,no,no,no,yes,no,no,yes,2
MIR137,406928,no,no,no,yes,no,no,yes,2
HAPLN4,404037,no,no,no,yes,no,no,yes,2
MIR137HG,400765,no,no,no,yes,no,no,yes,2
SNX19,399979,no,no,no,yes,no,no,yes,2
LCAT,3931,no,no,yes,yes,no,no,no,2
ARHGAP1,392,no,no,no,yes,no,no,yes,2
MUSTN1,389125,no,no,no,yes,no,no,yes,2
C2orf82,389084,no,no,no,yes,no,no,yes,2
UBE2Q2P1,388165,no,no,no,yes,no,no,yes,2
SETD8,387893,no,no,no,yes,no,no,yes,2
ZKSCAN4,387032,no,no,no,yes,no,no,yes,2
KLC1,3831,no,no,no,yes,no,no,yes,2
KCNN3,3782,no,no,yes,no,yes,no,no,2
KCNJ13,3769,no,no,no,yes,no,no,yes,2
TMEM110,375346,no,no,no,yes,no,no,yes,2
YJEFN3,374887,no,no,no,yes,no,no,yes,2
KCNB1,3745,no,no,no,yes,no,no,yes,2
ITIH3,3699,no,no,no,yes,no,no,yes,2
ITIH1,3697,no,no,no,yes,no,no,yes,2
IREB2,3658,no,no,no,yes,no,no,yes,2
IL1B,3553,no,no,yes,no,yes,no,no,2
HCN1,348980,no,no,no,yes,no,no,yes,2
FTCDNL1,348751,no,no,no,yes,no,no,yes,2
SOX2-OT,347689,no,no,no,yes,no,no,yes,2
LINC00634,339674,no,no,no,yes,no,no,yes,2
HTR2A,3356,yes,no,no,no,yes,no,no,2
HSPA9,3313,no,no,no,yes,no,no,yes,2
HINT1,3094,yes,no,no,no,yes,no,no,2
NRG1,3084,yes,no,no,no,yes,no,no,2
SERPIND1,3053,no,yes,yes,no,no,no,no,2
ZDHHC8,29801,no,yes,no,no,yes,no,no,2
GSTM1,2944,no,yes,no,no,yes,no,no,2
GRM3,2913,no,no,no,yes,yes,no,no,2
GRIN2B,2904,yes,no,no,no,yes,no,no,2
SPCS1,28972,no,no,no,yes,no,no,yes,2
GRIA4,2893,yes,no,no,no,yes,no,no,2
FAM86B3P,286042,no,no,yes,no,no,no,yes,2
INO80E,283899,no,no,no,yes,no,no,yes,2
HARBI1,283254,no,no,no,yes,no,no,yes,2
C11orf31,280636,no,no,no,yes,no,no,yes,2
TRMT2A,27037,no,yes,no,no,yes,no,no,2
GJA8,2703,no,yes,no,no,yes,no,no,2
KCNV1,27012,no,no,yes,yes,no,no,no,2
MDGA1,266727,no,no,yes,no,yes,no,no,2
SEZ6L2,26470,no,no,no,yes,no,no,yes,2
GNL3,26354,no,no,no,yes,no,no,yes,2
GIGYF2,26058,no,no,no,yes,no,no,yes,2
PPP1R16B,26051,no,no,no,yes,no,no,yes,2
CNTNAP2,26047,no,yes,yes,no,no,no,no,2
SPATS2L,26010,no,no,yes,no,no,no,yes,2
ZDHHC5,25921,no,no,no,yes,no,no,yes,2
BRP44,25874,no,no,yes,yes,no,no,no,2
NGEF,25791,no,no,no,yes,no,no,yes,2
GAD1,2571,yes,no,no,no,yes,no,no,2
GABRB3,2562,yes,yes,no,no,no,no,no,2
ASPHD1,253982,no,no,no,yes,no,no,yes,2
KCTD13,253980,no,no,no,yes,no,no,yes,2
PLA2G15,23659,no,no,no,yes,no,no,yes,2
VSIG2,23584,no,no,no,yes,no,no,yes,2
ABCB9,23457,no,no,no,yes,no,no,yes,2
SF3B1,23451,no,no,no,yes,no,no,yes,2
MAU2,23383,no,no,no,yes,no,no,yes,2
PPP1R13B,23368,no,no,no,yes,no,no,yes,2
SATB2,23314,no,no,no,yes,no,no,yes,2
ACSL6,23305,no,no,yes,no,yes,no,no,2
SMG6,23293,no,no,no,yes,no,no,yes,2
CNOT1,23019,no,no,no,yes,no,no,yes,2
IGSF9B,22997,no,no,no,yes,no,no,yes,2
NT5C2,22978,no,no,no,yes,no,no,yes,2
FES,2242,no,no,no,yes,no,no,yes,2
NKAPL,222698,no,no,no,yes,no,no,yes,2
ZSCAN23,222696,no,no,no,yes,no,no,yes,2
MED19,219541,no,no,no,yes,no,no,yes,2
YPEL4,219539,no,no,no,yes,no,no,yes,2
F2,2147,no,no,no,yes,no,no,yes,2
ETF1,2107,no,no,no,yes,no,no,yes,2
ERBB4,2066,no,yes,no,no,yes,no,no,2
C2orf69,205327,no,no,no,yes,no,no,yes,2
EP300,2033,no,no,yes,yes,no,no,no,2
TSNARE1,203062,no,no,no,yes,no,no,yes,2
CMYA5,202333,no,no,yes,no,yes,no,no,2
RILPL2,196383,no,no,no,yes,no,no,yes,2
DRG2,1819,no,no,no,yes,no,no,yes,2
DRD4,1815,no,no,yes,no,yes,no,no,2
DRD1,1812,no,no,yes,no,yes,no,no,2
DPYD,1806,no,no,no,yes,no,no,yes,2
WBP2NL,164684,no,no,no,yes,no,no,yes,2
CYP17A1,1586,no,no,no,yes,no,no,yes,2
ADRBK2,157,no,no,yes,yes,no,no,no,2
CYP2D6,1565,no,no,no,yes,no,no,yes,2
FAM109B,150368,no,no,no,yes,no,no,yes,2
CILP2,148113,no,no,no,yes,no,no,yes,2
TOM1L2,146691,no,no,no,yes,no,no,yes,2
C16orf92,146378,no,no,no,yes,no,no,yes,2
SLC32A1,140679,no,no,no,yes,no,no,yes,2
CR1L,1379,no,no,yes,yes,no,no,no,2
RFTN2,130132,no,no,no,yes,no,no,yes,2
TYW5,129450,no,no,no,yes,no,no,yes,2
UHMK1,127933,no,no,yes,no,yes,no,no,2
TMEM219,124446,no,no,no,yes,no,no,yes,2
AGPHD1,123688,no,no,no,yes,no,no,yes,2
CLU,1191,no,no,yes,yes,no,no,no,2
SFXN2,118980,no,no,yes,yes,no,no,no,2
CKB,1152,no,no,no,yes,no,no,yes,2
CHRNB4,1143,no,no,no,yes,no,no,yes,2
CHRNA7,1139,no,yes,no,no,yes,no,no,2
CHRNA5,1138,no,no,no,yes,no,no,yes,2
CHRNA3,1136,no,no,no,yes,no,no,yes,2
CHRM4,1132,no,no,no,yes,no,no,yes,2
NXPH4,11247,no,no,yes,yes,no,no,no,2
NISCH,11188,no,no,yes,yes,no,no,no,2
CHI3L1,1116,no,no,yes,no,yes,no,no,2
CHGB,1114,no,no,yes,no,yes,no,no,2
CLP1,10978,no,no,no,yes,no,no,yes,2
CPLX2,10814,yes,no,no,no,yes,no,no,2
MPHOSPH9,10198,no,no,no,yes,no,no,yes,2
DPYD-AS1,100873932,no,no,no,yes,no,no,yes,2
HSPE1-MOB4,100529241,no,no,no,yes,no,no,yes,2
TMEM110-MUSTN1,100526772,no,no,no,yes,no,no,yes,2
LINC00933,100506874,no,no,no,yes,no,no,yes,2
MIR4304,100422931,no,no,no,yes,no,no,yes,2
MIR3160-1,100422827,no,no,yes,no,no,no,yes,2
MIR1281,100302237,no,no,no,yes,no,no,yes,2
LOC100216546,100216546,no,no,no,yes,no,no,yes,2
NDUFA6-AS1,100132273,no,no,yes,no,no,no,yes,2
ANKRD63,100131244,no,no,no,yes,no,no,yes,2
LOC378135,-,no,no,no,yes,no,yes,no,2
CALN1,83698,no,yes,no,yes,no,no,no,2
AP3B2,8120,no,no,no,yes,no,no,yes,2
CPEB1,64506,no,no,no,yes,no,no,yes,2
RLBP1,6017,no,no,yes,yes,no,no,no,2
ZDHHC2,51201,no,no,no,yes,no,no,yes,2
GABBR1,2550,no,no,no,yes,yes,no,no,2
FLRT2,23768,no,no,yes,yes,no,no,no,2
PHF3,23469,no,no,yes,yes,no,no,no,2
EMX1,2016,no,no,no,yes,no,no,yes,2
SNORA17B,SNORA17B,no,no,yes,no,no,no,no,1
LRRC48,LRRC48,no,no,no,yes,no,no,no,1
SCO2,9997,no,no,yes,no,no,no,no,1
CDH1,999,no,no,yes,no,no,no,no,1
HNRNPDL,9987,no,no,yes,no,no,no,no,1
CDC42,998,no,no,yes,no,no,no,no,1
NUP153,9972,no,yes,no,no,no,no,no,1
MED12,9968,no,no,no,no,yes,no,no,1
USP3,9960,no,no,yes,no,no,no,no,1
HS3ST1,9957,no,no,yes,no,no,no,no,1
CDC25C,995,no,no,no,yes,no,no,no,1
WDR1,9948,no,yes,no,no,no,no,no,1
RBM8A,9939,no,yes,no,no,no,no,no,1
LPGAT1,9926,no,no,yes,no,no,no,no,1
CDC20,991,no,no,yes,no,no,no,no,1
SGSM2,9905,no,no,no,yes,no,no,no,1
TECPR2,9895,no,no,yes,no,no,no,no,1
SEPT7,989,no,no,yes,no,no,no,no,1
ZC3H11A,9877,no,no,yes,no,no,no,no,1
PSMD6,9861,no,no,no,yes,no,no,no,1
CEP350,9857,no,no,yes,no,no,no,no,1
HEPH,9843,no,no,yes,no,no,no,no,1
ZEB2,9839,no,no,no,yes,no,no,no,1
ARHGEF11,9826,no,no,no,no,yes,no,no,1
ACYP2,98,no,no,yes,no,no,no,no,1
CKAP5,9793,no,no,no,yes,no,no,no,1
SNX17,9784,no,no,yes,no,no,no,no,1
MATR3,9782,no,no,yes,no,no,no,no,1
TBC1D5,9779,no,no,no,yes,no,no,no,1
CD151,977,no,no,yes,no,no,no,no,1
KIAA0101,9768,no,no,yes,no,no,no,no,1
PCDHA9,9752,no,no,no,yes,no,no,no,1
PHACTR2,9749,no,no,yes,no,no,no,no,1
ZNF536,9745,no,no,no,yes,no,no,no,1
HDAC9,9734,no,no,yes,no,no,no,no,1
SEMA3E,9723,no,no,yes,no,no,no,no,1
NOS1AP,9722,no,no,no,no,yes,no,no,1
KIAA0100,9703,no,no,yes,no,no,no,no,1
CD69,969,no,no,yes,no,no,no,no,1
VGLL4,9686,no,no,yes,no,no,no,no,1
CLINT1,9685,no,no,no,no,yes,no,no,1
KIAA0430,9665,no,yes,no,no,no,no,no,1
HS2ST1,9653,no,no,yes,no,no,no,no,1
SH3PXD2A,9644,no,no,yes,no,no,no,no,1
MORF4L2,9643,no,no,yes,no,no,no,no,1
ZNF592,9640,no,no,no,no,no,no,yes,1
ISG15,9636,no,no,yes,no,no,no,no,1
CD48,962,no,no,yes,no,no,no,no,1
CD44,960,no,no,yes,no,no,no,no,1
MAD2L1BP,9587,no,no,yes,no,no,no,no,1
NR1D1,9572,no,no,yes,no,no,no,no,1
CHD1L,9557,no,yes,no,no,no,no,no,1
MRPL33,9553,no,no,no,no,no,no,yes,1
SPAG7,9552,no,no,yes,no,no,no,no,1
ATP5J2,9551,no,no,yes,no,no,no,no,1
NRG2,9542,no,no,no,no,yes,no,no,1
BAG3,9531,no,no,yes,no,no,no,no,1
SLC4A7,9497,no,no,yes,no,no,no,no,1
NAPSA,9476,no,no,no,no,no,yes,no,1
ATG5,9474,no,no,yes,no,no,no,no,1
CHST3,9469,no,no,yes,no,no,no,no,1
PICK1,9463,no,no,no,no,yes,no,no,1
HOMER3,9454,no,no,yes,no,no,no,no,1
MED7,9443,no,no,no,no,yes,no,no,1
MED23,9439,no,no,yes,no,no,no,no,1
ABCG2,9429,no,no,yes,no,no,no,no,1
ABCC12,94160,no,no,yes,no,no,no,no,1
FAM189A2,9413,no,no,yes,no,no,no,no,1
SYTL5,94122,no,no,yes,no,no,no,no,1
SYAP1,94056,no,no,yes,no,no,no,no,1
POM121L2,94026,no,no,no,no,no,no,yes,1
GRAP2,9402,no,no,yes,no,no,no,no,1
FOXP2,93986,no,no,no,no,yes,no,no,1
ACRC,93953,no,no,yes,no,no,no,no,1
NRXN1,9378,no,yes,no,no,no,no,no,1
TM9SF2,9375,no,no,yes,no,no,no,no,1
PLAA,9373,no,no,no,yes,no,no,no,1
KIF3B,9371,no,no,yes,no,no,no,no,1
RAB9BP1,9366,no,no,yes,no,no,no,no,1
ACPT,93650,no,no,yes,no,no,no,no,1
MYOCD,93649,no,no,yes,no,no,no,no,1
MRFAP1,93621,no,no,yes,no,no,no,no,1
LHX2,9355,no,no,yes,no,no,no,no,1
NDST3,9348,no,no,no,yes,no,no,no,1
CD163,9332,no,no,yes,no,no,no,no,1
B4GALT6,9331,no,no,yes,no,no,no,no,1
ZNHIT3,9326,no,yes,no,no,no,no,no,1
TRIP13,9319,no,yes,no,no,no,no,no,1
NREP,9315,no,no,yes,no,no,no,no,1
KLF4,9314,no,no,yes,no,no,no,no,1
MS4A1,931,no,no,yes,no,no,no,no,1
COQ10A,93058,no,no,yes,no,no,no,no,1
CD14,929,no,no,no,yes,no,no,no,1
CD9,928,yes,no,no,no,no,no,no,1
SLC38A5,92745,no,no,yes,no,no,no,no,1
OTOP2,92736,no,no,yes,no,no,no,no,1
TMEM169,92691,no,no,yes,no,no,no,no,1
STK17B,9262,no,no,yes,no,no,no,no,1
NUMBL,9253,no,no,no,no,yes,no,no,1
RPS6KA5,9252,no,no,yes,no,no,no,no,1
MSC,9242,no,no,yes,no,no,no,no,1
RBM18,92400,no,no,yes,no,no,no,no,1
CRB3,92359,no,no,yes,no,no,no,no,1
MEX3A,92312,no,no,yes,no,no,no,no,1
DLGAP2,9228,no,yes,no,no,no,no,no,1
DUSP27,92235,no,no,yes,no,no,no,no,1
MAGI1,9223,no,no,no,no,yes,no,no,1
UBTD2,92181,no,no,yes,no,no,no,no,1
MTG1,92170,no,no,yes,no,no,no,no,1
FCMR,9214,no,no,yes,no,no,no,no,1
ZMYM5,9205,no,no,yes,no,no,no,no,1
DCLK1,9201,no,no,yes,no,no,no,no,1
CD4,920,no,no,yes,no,no,no,no,1
SLC16A7,9194,no,no,yes,no,no,no,no,1
CHRDL1,91851,no,no,yes,no,no,no,no,1
ZW10,9183,no,no,yes,no,no,no,no,1
ARHGEF2,9181,no,no,yes,no,no,no,no,1
OSMR,9180,no,no,yes,no,no,no,no,1
CABLES1,91768,no,no,yes,no,no,no,no,1
MFSD4B,91749,no,no,yes,no,no,no,no,1
IL1RL1,9173,no,no,yes,no,no,no,no,1
MYOM2,9172,no,yes,no,no,no,no,no,1
ACY3,91703,no,no,yes,no,no,no,no,1
LPAR2,9170,no,no,no,no,no,no,yes,1
SCAF11,9169,no,no,yes,no,no,no,no,1
TDRD12,91646,no,no,yes,no,no,no,no,1
RPS19BP1,91582,no,no,no,no,no,no,yes,1
SYNGR1,9145,no,no,no,no,yes,no,no,1
MSANTD3,91283,no,no,yes,no,no,no,no,1
P2RX6,9127,no,yes,no,no,no,no,no,1
RQCD1,9125,no,no,yes,no,no,no,no,1
SLC16A6,9120,no,no,yes,no,no,no,no,1
NUP210L,91181,no,no,yes,no,no,no,no,1
INA,9118,no,no,no,yes,no,no,no,1
SCARF2,91179,no,yes,no,no,no,no,no,1
NMI,9111,no,no,yes,no,no,no,no,1
IL33,90865,no,no,yes,no,no,no,no,1
CEP95,90799,no,no,yes,no,no,no,no,1
LINC00473,90632,no,no,yes,no,no,no,no,1
SLC7A6,9057,no,no,no,yes,no,no,no,1
MAP7,9053,no,no,yes,no,no,no,no,1
ZNF622,90441,no,no,yes,no,no,no,no,1
UCN2,90226,no,no,yes,no,no,no,no,1
SOCS3,9021,no,no,yes,no,no,no,no,1
MPZL1,9019,no,no,yes,no,no,no,no,1
TSPAN18,90139,no,no,no,yes,no,no,no,1
ACVR1,90,no,no,yes,no,no,no,no,1
TNFSF18,8995,no,no,yes,no,no,no,no,1
ATP6V0E1,8992,no,no,yes,no,no,no,no,1
SELENBP1,8991,no,no,no,no,yes,no,no,1
ZNF628,89887,no,no,yes,no,no,no,no,1
PLOD3,8985,no,no,yes,no,no,no,no,1
CHRFAM7A,89832,no,no,no,no,yes,no,no,1
KCNK17,89822,no,no,yes,no,no,no,no,1
NAV3,89795,no,no,yes,no,no,no,no,1
P4HA2,8974,no,no,yes,no,no,no,no,1
HIST1H2AG,8969,no,no,no,no,no,no,yes,1
CCND2,894,no,no,yes,no,no,no,no,1
SNURF,8926,no,yes,no,no,no,no,no,1
HERC3,8916,no,no,yes,no,no,no,no,1
ENDOU,8909,no,no,yes,no,no,no,no,1
AP1S2,8905,no,no,yes,no,no,no,no,1
CCNA2,890,no,no,yes,no,no,no,no,1
EIF2S2,8894,no,no,yes,no,no,no,no,1
CDC16,8881,no,no,yes,no,no,no,no,1
FUBP1,8880,no,no,yes,no,no,no,no,1
ST3GAL5,8869,no,no,yes,no,no,no,no,1
CCKAR,886,no,no,no,no,yes,no,no,1
PROM1,8842,no,no,yes,no,no,no,no,1
IL18R1,8809,no,no,no,no,yes,no,no,1
IL18RAP,8807,no,no,no,no,yes,no,no,1
TRIM24,8805,no,no,yes,no,no,no,no,1
SUCLA2,8803,no,no,yes,no,no,no,no,1
SUCLG2,8801,no,no,yes,no,no,no,no,1
PEX11B,8799,no,yes,no,no,no,no,no,1
TNFRSF10D,8793,no,no,yes,no,no,no,no,1
ADAM21,8747,no,no,yes,no,no,no,no,1
TNFSF10,8743,no,no,yes,no,no,no,no,1
TNFSF14,8740,no,no,yes,no,no,no,no,1
ADAM19,8728,no,no,yes,no,no,no,no,1
SERPINH1,871,no,no,yes,no,no,no,no,1
GALNT4,8693,no,no,yes,no,no,no,no,1
MARCO,8685,no,no,no,no,yes,no,no,1
CBL,867,no,no,yes,no,no,no,no,1
DYNLL1,8655,no,no,yes,no,no,no,no,1
CBFB,865,no,no,yes,no,no,no,no,1
AKR1C3,8644,no,no,yes,no,no,no,no,1
RUNX3,864,no,no,yes,no,no,no,no,1
OASL,8638,no,no,yes,no,no,no,no,1
RUNX1,861,no,no,yes,no,no,no,no,1
RGS20,8601,no,no,yes,no,no,no,no,1
TMEFF1,8577,no,no,yes,no,no,no,no,1
MKNK1,8569,no,no,yes,no,no,no,no,1
KMO,8564,no,no,no,no,yes,no,no,1
DEGS1,8560,no,no,yes,no,no,no,no,1
PIAS1,8554,no,no,yes,no,no,no,no,1
DNAJC5B,85479,no,no,yes,no,no,no,no,1
GFM1,85476,no,no,yes,no,no,no,no,1
FCN3,8547,no,no,yes,no,no,no,no,1
CIPC,85457,no,no,yes,no,no,no,no,1
LRRCC1,85444,no,no,yes,no,no,no,no,1
DOCK7,85440,no,no,yes,no,no,no,no,1
NKD2,85409,no,yes,no,no,no,no,no,1
RGS8,85397,no,no,yes,no,no,no,no,1
KIAA1671,85379,no,no,yes,no,no,no,no,1
DGCR6L,85359,no,yes,no,no,no,no,no,1
KIAA1644,85352,no,no,yes,no,no,no,no,1
CHST1,8534,no,no,yes,no,no,no,no,1
YBX3,8531,no,no,yes,no,no,no,no,1
COL27A1,85301,no,no,yes,no,no,no,no,1
CST7,8530,no,no,yes,no,no,no,no,1
DGKE,8526,no,no,yes,no,no,no,no,1
HIST1H2BK,85236,no,no,no,no,no,no,yes,1
HIST1H2AH,85235,no,no,no,no,no,no,yes,1
GAS7,8522,no,no,yes,no,no,no,no,1
IFITM1,8519,no,no,yes,no,no,no,no,1
ITGA8,8516,no,no,yes,no,no,no,no,1
ITGA10,8515,no,yes,no,no,no,no,no,1
SNHG12,85028,no,no,yes,no,no,no,no,1
USP45,85015,no,no,yes,no,no,no,no,1
TMEM128,85013,no,no,yes,no,no,no,no,1
RERG,85004,no,no,yes,no,no,no,no,1
PPFIA1,8500,no,no,yes,no,no,no,no,1
C3orf34,84984,no,yes,no,no,no,no,no,1
MFSD5,84975,no,no,yes,no,no,no,no,1
ABHD13,84945,no,no,yes,no,no,no,no,1
WDR73,84942,no,no,no,no,no,no,yes,1
HSH2D,84941,no,no,yes,no,no,no,no,1
ZFYVE19,84936,no,no,yes,no,no,no,no,1
ZNF587,84914,no,no,yes,no,no,no,no,1
ADGRG7,84873,no,no,yes,no,no,no,no,1
KLHL22,84861,no,yes,no,no,no,no,no,1
GLIS3-AS1,84850,no,no,yes,no,no,no,no,1
RAX2,84839,no,no,yes,no,no,no,no,1
RAE1,8480,no,no,yes,no,no,no,no,1
DDX11L2,84771,no,no,yes,no,no,no,no,1
MPV17L2,84769,no,no,no,no,no,yes,no,1
SORBS2,8470,no,no,yes,no,no,no,no,1
MYO18B,84700,no,no,no,yes,no,no,no,1
MCEE,84693,no,no,yes,no,no,no,no,1
DPY30,84661,no,no,yes,no,no,no,no,1
GLYR1,84656,no,no,yes,no,no,no,no,1
PLA2G12B,84647,no,no,yes,no,no,no,no,1
TUBB6,84617,no,no,yes,no,no,no,no,1
MT4,84560,no,no,yes,no,no,no,no,1
MAP1LC3A,84557,no,no,yes,no,no,no,no,1
MCHR2,84539,no,no,yes,no,no,no,no,1
LINC01547,84536,no,no,yes,no,no,no,no,1
CUL3,8452,no,no,no,yes,no,no,no,1
ACTRT3,84517,no,no,yes,no,no,no,no,1
PLPP5,84513,no,no,yes,no,no,no,no,1
MEGF10,84466,no,no,no,no,yes,no,no,1
MEGF11,84465,no,no,yes,no,no,no,no,1
FRMPD3,84443,no,no,yes,no,no,no,no,1
MSANTD4,84437,no,no,yes,no,no,no,no,1
COG8,84342,no,no,yes,no,no,no,no,1
APOPT1,84334,no,no,no,yes,no,no,no,1
DYDC2,84332,no,no,yes,no,no,no,no,1
ACBD6,84320,no,no,yes,no,no,no,no,1
CCDC115,84317,no,no,yes,no,no,no,no,1
FAM213A,84293,no,no,yes,no,no,no,no,1
CAPNS2,84290,no,no,yes,no,no,no,no,1
TMEM79,84283,no,no,yes,no,no,no,no,1
DNAJC30,84277,no,no,yes,no,no,no,no,1
HSDL2,84263,no,no,yes,no,no,no,no,1
BBOX1,8424,no,no,yes,no,no,no,no,1
ATP13A4,84239,no,no,yes,no,no,no,no,1
STX7,8417,no,no,yes,no,no,no,no,1
FAM161A,84140,no,no,yes,no,no,no,no,1
SLC7A6OS,84138,no,no,no,yes,no,no,no,1
TOMM40L,84134,no,no,yes,no,no,no,no,1
PCGF6,84108,no,no,no,yes,no,no,no,1
ARL6,84100,no,no,yes,no,no,no,no,1
ENKD1,84080,no,no,no,yes,no,no,no,1
ANKRD27,84079,no,no,yes,no,no,no,no,1
TKTL2,84076,no,no,yes,no,no,no,no,1
RBM48,84060,no,no,yes,no,no,no,no,1
WDR54,84058,no,no,yes,no,no,no,no,1
SPOP,8405,no,no,yes,no,no,no,no,1
FAM172A,83989,no,no,yes,no,no,no,no,1
PLA2G6,8398,no,no,no,no,yes,no,no,1
TATDN1,83940,no,no,yes,no,no,no,no,1
CASP6,839,no,no,yes,no,no,no,no,1
WDR87,83889,no,no,yes,no,no,no,no,1
FGFBP2,83888,no,no,yes,no,no,no,no,1
TM2D2,83877,no,no,yes,no,no,no,no,1
MRO,83876,no,no,yes,no,no,no,no,1
GPR61,83873,no,no,yes,no,no,no,no,1
TMTC1,83857,no,no,no,yes,no,no,no,1
NME5,8382,no,no,yes,no,no,no,no,1
L3MBTL2,83746,no,no,no,yes,no,no,no,1
ITCH,83737,no,no,yes,no,no,no,no,1
SLC25A18,83733,no,no,yes,no,no,no,no,1
YPEL3,83719,no,no,no,yes,no,no,no,1
NRIP2,83714,no,no,yes,no,no,no,no,1
FERMT3,83706,no,no,yes,no,no,no,no,1
RPS6KL1,83694,no,no,yes,no,no,no,no,1
CRISPLD1,83690,no,no,yes,no,no,no,no,1
HIST1H4L,8368,no,no,no,no,no,no,yes,1
SESN2,83667,no,no,yes,no,no,no,no,1
HIST1H4B,8366,no,no,no,no,no,no,yes,1
HIST1H4H,8365,no,no,no,no,no,no,yes,1
FAM103A1,83640,no,no,yes,no,no,no,no,1
HIST1H4C,8364,no,no,no,no,no,no,yes,1
HIST1H4J,8363,no,no,no,no,no,no,yes,1
HIST1H4K,8362,no,no,no,no,no,no,yes,1
C18orf21,83608,no,no,yes,no,no,no,no,1
TMEM47,83604,no,no,yes,no,no,no,no,1
HIST1H4A,8359,no,no,no,no,no,no,yes,1
HIST1H3B,8358,no,no,no,no,no,no,yes,1
HIST1H3H,8357,no,no,no,no,no,no,yes,1
HIST1H3J,8356,no,no,no,no,no,no,yes,1
HIST1H3I,8354,no,no,no,no,no,no,yes,1
HIST1H3C,8352,no,no,no,no,no,no,yes,1
HIST2H2BE,8349,no,no,yes,no,no,no,no,1
HIST1H2BO,8348,no,no,no,no,no,no,yes,1
HIST1H2BC,8347,no,no,no,no,no,no,yes,1
LRRC48,83450,no,no,no,no,no,no,yes,1
HIST1H2BM,8342,no,no,no,no,no,no,yes,1
HIST1H2BN,8341,no,no,no,no,no,no,yes,1
CASP1,834,no,no,yes,no,no,no,no,1
HIST1H2AM,8336,no,no,no,no,no,no,yes,1
HIST1H2AB,8335,no,no,no,no,no,no,yes,1
HIST1H2AC,8334,no,no,no,no,no,no,yes,1
HIST1H2AL,8332,no,no,no,no,no,no,yes,1
HIST1H2AJ,8331,no,no,no,no,no,no,yes,1
HIST1H2AK,8330,no,no,no,no,no,no,yes,1
GFI1B,8328,no,no,yes,no,no,no,no,1
HIST1H4I,8294,no,no,no,no,no,no,yes,1
CAPN6,827,no,no,yes,no,no,no,no,1
DGCR14,8220,no,yes,no,no,no,no,no,1
CLTCL1,8218,no,yes,no,no,no,no,no,1
LZTR1,8216,no,yes,no,no,no,no,no,1
ZNF93,81931,no,no,yes,no,no,no,no,1
MIA,8190,no,no,yes,no,no,no,no,1
ARPC5L,81873,no,no,yes,no,no,no,no,1
ZNF611,81856,no,no,yes,no,no,no,no,1
ADAMTS12,81792,no,no,yes,no,no,no,no,1
OR2B2,81697,no,no,no,no,no,no,yes,1
AMN,81693,no,no,yes,no,no,no,no,1
C6orf62,81688,no,no,yes,no,no,no,no,1
KAZALD1,81621,no,no,yes,no,no,no,no,1
CAB39L,81617,no,no,yes,no,no,no,no,1
NIPA2,81614,no,yes,no,no,no,no,no,1
LBH,81606,no,no,yes,no,no,no,no,1
TRIM8,81603,no,no,no,yes,no,no,no,1
GFOD2,81577,no,no,no,yes,no,no,no,1
MIR600HG,81571,no,no,yes,no,no,no,no,1
ITFG1,81533,no,no,yes,no,no,no,no,1
RND2,8153,no,no,yes,no,no,no,no,1
DCSTAMP,81501,no,no,yes,no,no,no,no,1
OR5BA1P,81210,no,no,no,yes,no,no,no,1
SLC25A32,81034,no,no,yes,no,no,no,no,1
SLC2A10,81031,no,no,yes,no,no,no,no,1
TUBB1,81027,no,no,yes,no,no,no,no,1
AAAS,8086,no,no,yes,no,no,no,no,1
APOL4,80832,no,no,yes,no,no,no,no,1
THAP7,80764,no,yes,no,no,no,no,no,1
VWA7,80737,no,no,yes,no,no,no,no,1
TTYH3,80727,no,no,yes,no,no,no,no,1
