['116', 0.4826477427596132, 1.0, 0.19685214331163617, 0.2215381322777296, 'Positive', 'Unlabeled', 'Unlabeled']
['403314', 0.4811937575203891, 1.0, 0.19921613172510888, 0.21241853957382836, 'Positive', 'Unlabeled', 'Unlabeled']
['90485', 0.4802722678100157, 1.0, 0.1920524530426153, 0.21963168037447076, 'Positive', 'Unlabeled', 'Unlabeled']
['6578', 0.4796541869773999, 1.0, 0.20043159356567244, 0.2046936597315243, 'Positive', 'Unlabeled', 'Unlabeled']
['60495', 0.4794860387338881, 1.0, 0.19423371172956116, 0.2133459142188959, 'Positive', 'Unlabeled', 'Unlabeled']
['2561', 0.47888697371116756, 1.0, 0.19259163119563993, 0.21351261909934915, 'Positive', 'Unlabeled', 'Unlabeled']
['4160', 0.4776099218626795, 1.0, 0.19265461226956804, 0.2085227820692527, 'Positive', 'Unlabeled', 'Unlabeled']
['1264', 0.4775827005950047, 1.0, 0.20015512937207322, 0.19716765822274138, 'Positive', 'Unlabeled', 'Unlabeled']
['10266', 0.4775289174999646, 1.0, 0.19719483942926264, 0.20140192460597026, 'Positive', 'Unlabeled', 'Unlabeled']
['1160', 0.4756354867156413, 1.0, 0.1919052546230161, 0.2020781504754344, 'Positive', 'Unlabeled', 'Unlabeled']
['10100', 0.47327627401545125, 1.0, 0.19763793654410874, 0.1844354789097334, 'Positive', 'Unlabeled', 'Unlabeled']
['390616', 0.4347360114492544, 0.25389116496882935, 1.0, 0.23116171585935885, 'Unlabeled', 'Positive', 'Unlabeled']
['23541', 0.4242359665719582, 0.23793615170659696, 1.0, 0.22107156287463905, 'Unlabeled', 'Positive', 'Unlabeled']
['117177', 0.4204041310993907, 0.18806491841629233, 1.0, 0.30548668756497804, 'Unlabeled', 'Positive', 'Unlabeled']
['79412', 0.406366086680725, 0.22059688507053, 1.0, 0.1842705765818401, 'Unlabeled', 'Positive', 'Unlabeled']
['29068', 0.4038144044021606, 0.21384142900607808, 1.0, 0.18757475959648628, 'Unlabeled', 'Positive', 'Unlabeled']
['138162', 0.4014905233023273, 0.19319996997657365, 1.0, 0.2195621532561619, 'Unlabeled', 'Positive', 'Unlabeled']
['92597', 0.4014464509471336, 0.20309881568146962, 1.0, 0.19958817242559515, 'Unlabeled', 'Positive', 'Unlabeled']
['10116', 0.3993688810882983, 0.20319095393902084, 1.0, 0.1910936164751517, 'Unlabeled', 'Positive', 'Unlabeled']
['221895', 0.3976081593140557, 0.20651675749641826, 1.0, 0.17739912226338617, 'Unlabeled', 'Positive', 'Unlabeled']
['57223', 0.39754559484820257, 0.20443086648917475, 1.0, 0.18132064641446075, 'Unlabeled', 'Positive', 'Unlabeled']
['57182', 0.3944371348605692, 0.19552862828514858, 1.0, 0.18669128287197964, 'Unlabeled', 'Positive', 'Unlabeled']
['64795', 0.3942626987501925, 0.19699939665002505, 1.0, 0.18305200170071986, 'Unlabeled', 'Positive', 'Unlabeled']
['9877', 0.39329135207416255, 0.19662341512332038, 1.0, 0.1799185780500093, 'Unlabeled', 'Positive', 'Unlabeled']
['7073', 0.393250439150841, 0.19472091304003816, 1.0, 0.18355993052328787, 'Unlabeled', 'Positive', 'Unlabeled']
['167227', 0.39257885434126566, 0.19544541093422882, 1.0, 0.17942459549660514, 'Unlabeled', 'Positive', 'Unlabeled']
['2788', 0.39250362453070003, 0.18946024929952446, 1.0, 0.19109399952375128, 'Unlabeled', 'Positive', 'Unlabeled']
['2558', 0.3919845768554496, 0.1897770206813739, 1.0, 0.18838426605905045, 'Unlabeled', 'Positive', 'Unlabeled']
['153222', 0.39195628690253087, 0.19561916377457753, 1.0, 0.17658682006096849, 'Unlabeled', 'Positive', 'Unlabeled']
['51621', 0.3919082583935485, 0.18979583638648434, 1.0, 0.18804136080122538, 'Unlabeled', 'Positive', 'Unlabeled']
['51762', 0.3911704174928164, 0.19456758417145212, 1.0, 0.1755465016283613, 'Unlabeled', 'Positive', 'Unlabeled']
['23411', 0.3905158507040911, 0.1915305013592461, 1.0, 0.17900240009787224, 'Unlabeled', 'Positive', 'Unlabeled']
['5927', 0.39045864174404343, 0.19077674632275846, 1.0, 0.18028107433065674, 'Unlabeled', 'Positive', 'Unlabeled']
['10855', 0.3903864599248697, 0.191095594761838, 0.7967954866416233, 0.1793546501758028, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['9991', 0.3903862239430082, 0.19109529098386424, 1.0, 0.17935431380430425, 'Unlabeled', 'Positive', 'Unlabeled']
['105', 0.3900260069422971, 0.185527054609775, 1.0, 0.18904991854963848, 'Unlabeled', 'Positive', 'Unlabeled']
['92', 0.3895258095786424, 0.1878166590340199, 1.0, 0.18246992024652978, 'Unlabeled', 'Positive', 'Unlabeled']
['389677', 0.38951605792311284, 0.18276486344946594, 1.0, 0.19253450479351952, 'Unlabeled', 'Positive', 'Unlabeled']
['10285', 0.3894506970126477, 0.19067833526369785, 1.0, 0.17644611752319514, 'Unlabeled', 'Positive', 'Unlabeled']
['80306', 0.388873211011595, 0.19048605793704898, 1.0, 0.17452072817228206, 'Unlabeled', 'Positive', 'Unlabeled']
['85452', 0.3888534708002466, 0.181605161507189, 1.0, 0.19220356018660845, 'Unlabeled', 'Positive', 'Unlabeled']
['205', 0.3886175681467401, 0.187624465829492, 1.0, 0.1792213409279765, 'Unlabeled', 'Positive', 'Unlabeled']
['8087', 0.38845261328102204, 0.18890949691437012, 1.0, 0.17599145929534799, 'Unlabeled', 'Positive', 'Unlabeled']
['7514', 0.38837258199619673, 0.18874386829116876, 1.0, 0.17600259140244948, 'Unlabeled', 'Positive', 'Unlabeled']
['56245', 0.388295778718023, 0.18627524144601118, 1.0, 0.18063263198006943, 'Unlabeled', 'Positive', 'Unlabeled']
['9320', 0.3881221901592533, 0.18921561986831206, 1.0, 0.1740575209003891, 'Unlabeled', 'Positive', 'Unlabeled']
['3730', 0.3879809506142904, 0.18657446177217848, 1.0, 0.17877487891280455, 'Unlabeled', 'Positive', 'Unlabeled']
['50650', 0.387931056640347, 0.18715721114404868, 1.0, 0.17740980427329064, 'Unlabeled', 'Positive', 'Unlabeled']
['10914', 0.3878034596636743, 0.18748250744965844, 1.0, 0.17624882375538023, 'Unlabeled', 'Positive', 'Unlabeled']
['6988', 0.38760040167166815, 0.1710807601814527, 1.0, 0.20824008632376712, 'Unlabeled', 'Positive', 'Unlabeled']
['3192', 0.38754159087524775, 0.18681089708070112, 1.0, 0.17654456933958884, 'Unlabeled', 'Positive', 'Unlabeled']
['55004', 0.3872667963167623, 0.17523501823601825, 1.0, 0.19859714879501267, 'Unlabeled', 'Positive', 'Unlabeled']
['79139', 0.3871889363080231, 0.18702408309925625, 1.0, 0.17470757903357995, 'Unlabeled', 'Positive', 'Unlabeled']
['84866', 0.3868876137052953, 0.1701518784719109, 0.7956292045684318, 0.20724669787735936, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['91252', 0.38688742327375675, 0.17015162646054324, 1.0, 0.20724644017394053, 'Unlabeled', 'Positive', 'Unlabeled']
['55728', 0.3868046801378443, 0.18572556156044726, 1.0, 0.1757675974304829, 'Unlabeled', 'Positive', 'Unlabeled']
['25854', 0.386800015871159, 0.18107122410595436, 1.0, 0.1850576152727271, 'Unlabeled', 'Positive', 'Unlabeled']
['11052', 0.38628304978578154, 0.18548022463132097, 1.0, 0.17417174988048423, 'Unlabeled', 'Positive', 'Unlabeled']
['4673', 0.38595670358092865, 0.18376969264917128, 1.0, 0.17628742902537212, 'Unlabeled', 'Positive', 'Unlabeled']
['10146', 0.38563677175027783, 0.18350879813218812, 1.0, 0.175529490736735, 'Unlabeled', 'Positive', 'Unlabeled']
