['1203', '-1.106', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 353]
['9197', '-1.105', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 712]
['400', '-1.103', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1269]
['95', '-1.102', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 264]
['158', '-1.100', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1248]
['2639', '-1.100', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 451]
['1478', '-1.099', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 375]
['55830', '-1.097', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 620]
['22984', '-1.095', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 306]
['990', '-1.094', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 642]
['1503', '-1.093', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 833]
['4704', '-1.093', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 660]
['1284', '-1.092', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 439]
['81555', '-1.092', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 475]
['641', '-1.091', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 371]
['6193', '-1.090', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 400]
['23397', '-1.090', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 376]
['5018', '-1.089', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 492]
['1062', '-1.089', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 288]
['6133', '-1.087', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 253]
['83941', '-1.086', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 886]
['11339', '-1.086', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 567]
['79053', '-1.085', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 648]
['79714', '-1.085', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 250]
['10528', '-1.081', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 899]
['64318', '-1.081', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 874]
['3913', '-1.080', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 494]
['8607', '-1.080', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 879]
['705', '-1.079', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 413]
['5471', '-1.079', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 629]
['5480', '-1.079', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 99]
['79080', '-1.077', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 314]
['3161', '-1.077', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 649]
['54517', '-1.077', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 727]
['966', '-1.075', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 464]
['4173', '-1.074', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1026]
['10024', '-1.074', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 373]
['51110', '-1.074', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 394]
['8974', '-1.072', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 366]
['83461', '-1.072', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 398]
['4234', '-1.072', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 193]
['5983', '-1.071', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 924]
['6201', '-1.071', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 460]
['9401', '-1.070', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 279]
['10813', '-1.070', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 471]
['6135', '-1.069', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 267]
['51388', '-1.069', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 478]
['6901', '-1.068', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 370]
['9902', '-1.067', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 389]
['3416', '-1.067', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 502]
['6136', '-1.065', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 389]
['1350', '-1.065', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 670]
['1719', '-1.065', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 766]
['55127', '-1.064', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 657]
['79590', '-1.064', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 586]
['175', '-1.062', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 243]
['6302', '-1.062', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 150]
['9928', '-1.061', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 381]
['6130', '-1.060', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 317]
['23212', '-1.059', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 456]
['1486', '-1.059', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 393]
['5859', '-1.059', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 548]
['3338', '-1.058', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1229]
['84864', '-1.058', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 329]
['2175', '-1.058', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 279]
['10131', '-1.057', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 433]
['84908', '-1.057', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 387]
['51706', '-1.057', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 118]
['55215', '-1.056', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 520]
['7372', '-1.055', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 711]
['51287', '-1.054', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 549]
['2517', '-1.054', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 165]
['64924', '-1.053', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 437]
['51226', '-1.053', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 85]
['2184', '-1.052', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 190]
['54663', '-1.051', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 448]
['55388', '-1.050', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 453]
['4179', '-1.049', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 785]
['55720', '-1.049', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 895]
['3417', '-1.049', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 492]
['2720', '-1.049', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 278]
['4839', '-1.049', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 194]
['79443', '-1.049', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 58]
['5279', '-1.049', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 23]
['23404', '-1.048', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 736]
['26354', '-1.047', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 806]
['10398', '-1.047', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 106]
['6191', '-1.047', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 194]
['6161', '-1.046', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 232]
['1723', '-1.046', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 218]
['51227', '-1.046', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 242]
['8540', '-1.045', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 711]
['9131', '-1.045', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 388]
['6646', '-1.044', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 351]
['6156', '-1.044', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 249]
['9787', '-1.044', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 502]
['55319', '-1.044', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 430]
['5347', '-1.043', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 326]
['5832', '-1.043', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 146]
['634', '-1.043', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 243]
['3140', '-1.043', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 84]
['51068', '-1.042', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 629]
['3145', '-1.042', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 602]
['58477', '-1.042', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 464]
['6139', '-1.041', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 330]
['55163', '-1.041', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 61]
['7965', '-1.040', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 1122]
['2678', '-1.040', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 447]
['2799', '-1.039', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 305]
['29028', '-1.039', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 576]
['56992', '-1.039', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 337]
['80324', '-1.039', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 393]
['9088', '-1.037', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 277]
['6232', '-1.036', 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled', 178]
